nohup: ignoring input
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Starting gunicorn 25.0.3
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Listening at: http://0.0.0.0:80 (3615998)
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Using worker: sync
[2026-06-26 15:55:55 +1000] [3615999] [INFO] Booting worker with pid: 3615999
[2026-06-26 15:55:55 +1000] [3616000] [INFO] Booting worker with pid: 3616000
[2026-06-26 15:55:55 +1000] [3616001] [INFO] Booting worker with pid: 3616001
[2026-06-26 15:55:55 +1000] [3616011] [INFO] Booting worker with pid: 3616011
DB columns: {'windspdmax', 'batt_v', 'temperature', 'logger_temp', 'wind_speed', 'solar_flux_density_wm2', 'timestamp', 'tiltns', 'cs320_tilt', 'par_den', 'dewpoint_temp', 'strikes', 'wind_direction', 'timestamp_utc', 'preciptip', 'cs320_vout', 'precipdrop', 'par_tot', 'cs320_temp', 'airtempmin', 'atmospheric_pressure', 'par_den_2', 'cs320_total_energy_mj', 'vp', 'tiltwe', 'precipec', 'airtempmax', 'precipitation', 'rhtemp', 'par_tot_2', 'cs320_irradiance', 'cs320_energy_mj', 'dist', 'tiltxy', 'humidity'}
Received POST: BattV=12.091960,PTemp_C=20.779050,SlrFD_W=122.500000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=0.830000,WindDir=153.500000,MaxWS_ms=1.010000,AirT_C=14.100000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=74.000000,RHT_C=14.900000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.100000,TMax=14.200000,SlrTF_MJ=0.001225,SlrW=140.189000,Raw_mV=5.655000,CS320_Temp=16.122000,CS320_Angle=0.889000,SlrMJ=0.001402,PAR_Den=0.086623,PAR_Tot=0.000866,PAR_Den_2=0.014071,PAR_Tot_2=0.000141
utc 2026-06-26 06:00:03
Received POST: BattV=12.091960,PTemp_C=20.780240,SlrFD_W=122.200000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=0.710000,WindDir=134.900000,MaxWS_ms=1.090000,AirT_C=14.300000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=73.000000,RHT_C=14.900000,TiltNS_deg=-0.900000,TiltWE_deg=-1.500000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.200000,TMax=14.300000,SlrTF_MJ=0.001222,SlrW=139.622000,Raw_mV=5.632000,CS320_Temp=16.138000,CS320_Angle=0.887000,SlrMJ=0.001396,PAR_Den=0.089374,PAR_Tot=0.000894,PAR_Den_2=0.051893,PAR_Tot_2=0.000519DB columns: {'windspdmax', 'batt_v', 'temperature', 'logger_temp', 'wind_speed', 'solar_flux_density_wm2', 'timestamp', 'tiltns', 'cs320_tilt', 'par_den', 'dewpoint_temp', 'strikes', 'wind_direction', 'timestamp_utc', 'preciptip', 'cs320_vout', 'precipdrop', 'par_tot', 'cs320_temp', 'airtempmin', 'atmospheric_pressure', 'par_den_2', 'cs320_total_energy_mj', 'vp', 'tiltwe', 'precipec', 'airtempmax', 'precipitation', 'rhtemp', 'par_tot_2', 'cs320_irradiance', 'cs320_energy_mj', 'dist', 'tiltxy', 'humidity'}
Received POST: BattV=12.089340,PTemp_C=20.730900,SlrFD_W=134.700000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=1.160000,WindDir=168.900000,MaxWS_ms=2.590000,AirT_C=14.100000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=74.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=13.800000,TMax=14.400000,SlrTF_MJ=0.001347,SlrW=124.000000,Raw_mV=5.002000,CS320_Temp=16.332000,CS320_Angle=0.941000,SlrMJ=0.001240,PAR_Den=0.091318,PAR_Tot=0.000913,PAR_Den_2=0.023655,PAR_Tot_2=0.000237
utc 2026-06-26 05:55:55
Received POST: BattV=12.088210,PTemp_C=20.755520,SlrFD_W=127.700000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=0.600000,WindDir=185.900000,MaxWS_ms=0.980000,AirT_C=14.300000,VP_mbar=12.000000,BP_mbar=1022.600000,RH=73.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.300000,TMax=14.300000,SlrTF_MJ=0.001277,SlrW=145.738000,Raw_mV=5.879000,CS320_Temp=16.082000,CS320_Angle=0.942000,SlrMJ=0.001457,PAR_Den=0.101676,PAR_Tot=0.001017,PAR_Den_2=0.058696,PAR_Tot_2=0.000587
utc 2026-06-26 05:57:23
Received POST: BattV=12.091430,PTemp_C=20.763490,SlrFD_W=126.000000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=2.040000,WindDir=176.100000,MaxWS_ms=2.620000,AirT_C=13.800000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=76.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.700000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=13.800000,TMax=13.800000,SlrTF_MJ=0.001260,SlrW=144.270000,Raw_mV=5.820000,CS320_Temp=16.114000,CS320_Angle=0.724000,SlrMJ=0.001443,PAR_Den=0.078314,PAR_Tot=0.000783,PAR_Den_2=0.027007,PAR_Tot_2=0.000270
utc 2026-06-26 05:58:13
Received POST: BattV=12.089290,PTemp_C=20.772400,SlrFD_W=123.500000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=0.640000,WindDir=178.900000,MaxWS_ms=0.800000,AirT_C=14.100000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=74.000000,RHT_C=15.000000,TiltNS_deg=-0.900000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=0.900000,TMin=14.000000,TMax=14.100000,SlrTF_MJ=0.001235,SlrW=141.799000,Raw_mV=5.720000,CS320_Temp=16.110000,CS320_Angle=0.948000,SlrMJ=0.001418,PAR_Den=0.067233,PAR_Tot=0.000672,PAR_Den_2=0.062470,PAR_Tot_2=0.000625
